seed,n_vertices,density,strategy,turns,K,Y,B,K_over_Y,K_over_B,Y_over_B
1,15,0.181,max_degree,2,4,3,8,1.3333,0.5,0.375
2,15,0.181,max_degree,2,4,3,8,1.3333,0.5,0.375
3,15,0.181,max_degree,2,4,3,8,1.3333,0.5,0.375
4,15,0.181,max_degree,2,4,3,8,1.3333,0.5,0.375
5,15,0.181,max_degree,2,4,3,8,1.3333,0.5,0.375
6,15,0.181,max_degree,2,4,3,8,1.3333,0.5,0.375
7,15,0.181,max_degree,2,4,3,8,1.3333,0.5,0.375
8,15,0.2095,max_degree,3,5,5,5,1.0,1.0,1.0
9,15,0.2095,max_degree,3,5,5,5,1.0,1.0,1.0
10,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
11,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
12,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
13,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
14,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
15,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
16,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
17,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
18,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
19,15,0.2857,max_degree,2,6,4,5,1.5,1.2,0.8
20,15,0.219,max_degree,2,5,4,6,1.25,0.8333,0.6667
21,15,0.219,max_degree,2,5,4,6,1.25,0.8333,0.6667
22,15,0.219,max_degree,2,5,4,6,1.25,0.8333,0.6667
23,15,0.219,max_degree,2,5,4,6,1.25,0.8333,0.6667
24,15,0.219,max_degree,2,5,4,6,1.25,0.8333,0.6667
25,15,0.219,max_degree,2,5,4,6,1.25,0.8333,0.6667
26,15,0.219,max_degree,2,5,4,6,1.25,0.8333,0.6667
27,15,0.219,max_degree,2,5,4,6,1.25,0.8333,0.6667
28,15,0.219,max_degree,2,5,4,6,1.25,0.8333,0.6667
29,15,0.219,max_degree,2,4,4,7,1.0,0.5714,0.5714
30,15,0.219,max_degree,2,4,4,7,1.0,0.5714,0.5714
1,20,0.2421,max_degree,2,6,4,10,1.5,0.6,0.4
2,20,0.2421,max_degree,2,6,4,10,1.5,0.6,0.4
3,20,0.2105,max_degree,3,7,5,8,1.4,0.875,0.625
4,20,0.2105,max_degree,3,7,5,8,1.4,0.875,0.625
5,20,0.2105,max_degree,3,7,5,8,1.4,0.875,0.625
6,20,0.2105,max_degree,3,7,5,8,1.4,0.875,0.625
7,20,0.2105,max_degree,3,7,5,8,1.4,0.875,0.625
8,20,0.2053,max_degree,2,7,4,9,1.75,0.7778,0.4444
9,20,0.2053,max_degree,2,7,4,9,1.75,0.7778,0.4444
10,20,0.2316,max_degree,3,6,5,9,1.2,0.6667,0.5556
11,20,0.2316,max_degree,3,6,5,9,1.2,0.6667,0.5556
12,20,0.2316,max_degree,3,6,5,9,1.2,0.6667,0.5556
13,20,0.2316,max_degree,3,6,5,9,1.2,0.6667,0.5556
14,20,0.2158,max_degree,2,7,4,9,1.75,0.7778,0.4444
15,20,0.2158,max_degree,2,7,4,9,1.75,0.7778,0.4444
16,20,0.2158,max_degree,2,7,4,9,1.75,0.7778,0.4444
17,20,0.2526,max_degree,2,8,4,8,2.0,1.0,0.5
18,20,0.2526,max_degree,2,8,4,8,2.0,1.0,0.5
19,20,0.2526,max_degree,2,8,4,8,2.0,1.0,0.5
20,20,0.2263,max_degree,3,9,5,6,1.8,1.5,0.8333
21,20,0.2263,max_degree,3,9,5,6,1.8,1.5,0.8333
