seed,n_vertices,density,strategy,turns,K,Y,B,K_over_Y,K_over_B,Y_over_B
1,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
2,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
3,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
4,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
5,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
6,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
7,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
8,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
9,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
10,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
11,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
12,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
13,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
14,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
15,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
16,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
17,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
18,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
19,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
20,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
21,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
22,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
23,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
24,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
25,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
26,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
27,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
28,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
29,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
30,30,0.0874,max_degree,2,2,3,25,0.6667,0.08,0.12
1,40,0.0641,max_degree,2,2,3,35,0.6667,0.0571,0.0857
2,40,0.0641,max_degree,2,2,3,35,0.6667,0.0571,0.0857
