seed,n_vertices,density,strategy,turns,K,Y,B,K_over_Y,K_over_B,Y_over_B
1,30,0.1931,max_degree,3,21,6,3,3.5,7.0,2.0
2,30,0.1931,max_degree,3,18,6,6,3.0,3.0,1.0
3,30,0.1931,max_degree,3,24,6,0,4.0,inf,inf
4,30,0.1931,max_degree,3,21,6,3,3.5,7.0,2.0
5,30,0.1931,max_degree,4,19,7,4,2.7143,4.75,1.75
6,30,0.1931,max_degree,4,22,8,0,2.75,inf,inf
7,30,0.1931,max_degree,4,22,8,0,2.75,inf,inf
8,30,0.1931,max_degree,4,22,8,0,2.75,inf,inf
9,30,0.1931,max_degree,3,19,6,5,3.1667,3.8,1.2
10,30,0.1931,max_degree,3,24,6,0,4.0,inf,inf
11,30,0.1931,max_degree,3,24,6,0,4.0,inf,inf
12,30,0.1931,max_degree,3,22,6,2,3.6667,11.0,3.0
13,30,0.1931,max_degree,3,21,5,4,4.2,5.25,1.25
14,30,0.1931,max_degree,3,21,6,3,3.5,7.0,2.0
15,30,0.1931,max_degree,4,14,7,9,2.0,1.5556,0.7778
16,30,0.1931,max_degree,3,20,5,5,4.0,4.0,1.0
17,30,0.1931,max_degree,4,22,8,0,2.75,inf,inf
18,30,0.1931,max_degree,4,19,8,3,2.375,6.3333,2.6667
19,30,0.1931,max_degree,4,20,7,3,2.8571,6.6667,2.3333
20,30,0.1931,max_degree,4,19,7,4,2.7143,4.75,1.75
21,30,0.1931,max_degree,3,24,6,0,4.0,inf,inf
22,30,0.1931,max_degree,3,17,5,8,3.4,2.125,0.625
23,30,0.1931,max_degree,3,22,6,2,3.6667,11.0,3.0
24,30,0.1931,max_degree,3,17,5,8,3.4,2.125,0.625
25,30,0.1931,max_degree,2,20,4,6,5.0,3.3333,0.6667
26,30,0.1931,max_degree,3,18,5,7,3.6,2.5714,0.7143
27,30,0.1931,max_degree,4,19,7,4,2.7143,4.75,1.75
28,30,0.1931,max_degree,3,19,6,5,3.1667,3.8,1.2
29,30,0.1931,max_degree,3,19,6,5,3.1667,3.8,1.2
30,30,0.1931,max_degree,3,25,5,0,5.0,inf,inf
1,40,0.1462,max_degree,3,29,6,5,4.8333,5.8,1.2
2,40,0.1462,max_degree,3,34,6,0,5.6667,inf,inf
3,40,0.1462,max_degree,4,32,8,0,4.0,inf,inf
4,40,0.1462,max_degree,3,29,6,5,4.8333,5.8,1.2
5,40,0.1462,max_degree,4,33,7,0,4.7143,inf,inf
6,40,0.1462,max_degree,4,31,8,1,3.875,31.0,8.0
7,40,0.1462,max_degree,3,26,6,8,4.3333,3.25,0.75
