n,density,start_mode,seed,turns,K,Y,B,B_pct,K_pct
15,0.15,max_degree,1,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,2,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,3,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,4,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,5,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,6,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,7,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,8,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,9,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,10,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,11,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,12,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,13,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,14,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,15,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,16,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,17,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,18,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,19,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,20,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,21,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,22,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,23,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,24,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,25,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,26,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,27,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,28,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,29,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,max_degree,30,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,random,1,1,2,2,11,73.33333333333333,13.333333333333334
15,0.15,random,2,1,3,2,10,66.66666666666666,20.0
15,0.15,random,3,1,1,1,13,86.66666666666667,6.666666666666667
15,0.15,random,4,1,1,1,13,86.66666666666667,6.666666666666667
15,0.15,random,5,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,random,6,1,1,2,12,80.0,6.666666666666667
15,0.15,random,7,1,2,2,11,73.33333333333333,13.333333333333334
15,0.15,random,8,1,1,1,13,86.66666666666667,6.666666666666667
15,0.15,random,9,1,1,2,12,80.0,6.666666666666667
15,0.15,random,10,2,4,4,7,46.666666666666664,26.666666666666668
15,0.15,random,11,1,1,2,12,80.0,6.666666666666667
15,0.15,random,12,1,1,2,12,80.0,6.666666666666667
15,0.15,random,13,1,1,2,12,80.0,6.666666666666667
15,0.15,random,14,1,1,2,12,80.0,6.666666666666667
15,0.15,random,15,1,1,1,13,86.66666666666667,6.666666666666667
15,0.15,random,16,1,2,2,11,73.33333333333333,13.333333333333334
15,0.15,random,17,1,1,1,13,86.66666666666667,6.666666666666667
15,0.15,random,18,1,2,2,11,73.33333333333333,13.333333333333334
15,0.15,random,19,1,2,2,11,73.33333333333333,13.333333333333334
15,0.15,random,20,2,2,3,10,66.66666666666666,13.333333333333334
15,0.15,random,21,1,2,2,11,73.33333333333333,13.333333333333334
15,0.15,random,22,2,2,3,10,66.66666666666666,13.333333333333334
15,0.15,random,23,2,2,3,10,66.66666666666666,13.333333333333334
15,0.15,random,24,1,1,2,12,80.0,6.666666666666667
15,0.15,random,25,1,1,2,12,80.0,6.666666666666667
15,0.15,random,26,1,1,2,12,80.0,6.666666666666667
15,0.15,random,27,1,2,2,11,73.33333333333333,13.333333333333334
15,0.15,random,28,1,1,2,12,80.0,6.666666666666667
15,0.15,random,29,1,1,1,13,86.66666666666667,6.666666666666667
15,0.15,random,30,1,1,1,13,86.66666666666667,6.666666666666667
